year,month,date,deaths_arg,deaths_cor,deaths_ratio
2015,1,01/01/2015,25583,NA,NA
2015,2,01/02/2015,22728,NA,NA
2015,3,01/03/2015,25145,NA,NA
2015,4,01/04/2015,25853,NA,NA
2015,5,01/05/2015,27580,NA,NA
2015,6,01/06/2015,29490,NA,NA
2015,7,01/07/2015,33369,NA,NA
2015,8,01/08/2015,31822,NA,NA
2015,9,01/09/2015,29911,NA,NA
2015,10,01/10/2015,28582,NA,NA
2015,11,01/11/2015,25482,NA,NA
2015,12,01/12/2015,25016,NA,NA
2016,1,01/01/2016,27557,NA,NA
2016,2,01/02/2016,25416,NA,NA
2016,3,01/03/2016,27008,NA,NA
2016,4,01/04/2016,27181,NA,NA
2016,5,01/05/2016,33201,NA,NA
2016,6,01/06/2016,36135,NA,NA
2016,7,01/07/2016,34452,NA,NA
2016,8,01/08/2016,31338,NA,NA
2016,9,01/09/2016,29597,NA,NA
2016,10,01/10/2016,27872,NA,NA
2016,11,01/11/2016,25537,NA,NA
2016,12,01/12/2016,24823,NA,NA
2017,1,01/01/2017,26724,NA,NA
2017,2,01/02/2017,23774,NA,NA
2017,3,01/03/2017,26151,NA,NA
2017,4,01/04/2017,25852,NA,NA
2017,5,01/05/2017,30063,NA,NA
2017,6,01/06/2017,37443,NA,NA
2017,7,01/07/2017,34769,NA,NA
2017,8,01/08/2017,29995,NA,NA
2017,9,01/09/2017,27287,NA,NA
2017,10,01/10/2017,27939,NA,NA
2017,11,01/11/2017,25066,NA,NA
2017,12,01/12/2017,24215,NA,NA
2018,1,01/01/2018,26030,NA,NA
2018,2,01/02/2018,23518,NA,NA
2018,3,01/03/2018,25683,NA,NA
2018,4,01/04/2018,25290,NA,NA
2018,5,01/05/2018,27672,NA,NA
2018,6,01/06/2018,31395,NA,NA
2018,7,01/07/2018,33618,NA,NA
2018,8,01/08/2018,33721,NA,NA
2018,9,01/09/2018,29980,NA,NA
2018,10,01/10/2018,27702,NA,NA
2018,11,01/11/2018,25250,NA,NA
2018,12,01/12/2018,23650,NA,NA
2019,1,01/01/2019,26271,2129,0.08103993
2019,2,01/02/2019,23688,2069,0.087343803
2019,3,01/03/2019,26020,2236,0.085933897
2019,4,01/04/2019,25582,2174,0.084981628
2019,5,01/05/2019,28383,2568,0.090476694
2019,6,01/06/2019,31418,2656,0.084537526
2019,7,01/07/2019,36035,3143,0.087220758
2019,8,01/08/2019,32472,3109,0.095744026
2019,9,01/09/2019,29481,2931,0.099419965
2019,10,01/10/2019,28362,2564,0.090402651
2019,11,01/11/2019,25543,2292,0.089731042
2019,12,01/12/2019,23836,2497,0.10475751
2020,1,01/01/2020,25571,2327,0.091001525
2020,2,01/02/2020,24212,2245,0.092722617
2020,3,01/03/2020,25639,2331,0.090916182
2020,4,01/04/2020,24959,2253,0.09026804
2020,5,01/05/2020,27541,2452,0.089030899
2020,6,01/06/2020,28899,2609,0.09027994
2020,7,01/07/2020,36033,3122,0.0866428
2020,8,01/08/2020,37052,2862,0.077242794
2020,9,01/09/2020,39973,3223,0.080629425
2020,10,01/10/2020,42554,4411,0.103656531
2020,11,01/11/2020,35421,3533,0.09974309
2020,12,01/12/2020,31141,2850,0.091519219
2021,1,01/01/2021,NA,2807,NA
2021,2,01/02/2021,NA,2527,NA
2021,3,01/03/2021,NA,2711,NA
2021,4,01/04/2021,NA,3169,NA
2021,5,01/05/2021,NA,4065,NA
2021,6,01/06/2021,NA,5008,NA
2021,7,01/07/2021,NA,4153,NA
2021,8,01/08/2021,NA,3635,NA
2021,9,01/09/2021,NA,2727,NA
2021,10,01/10/2021,NA,2637,NA
2021,11,01/11/2021,NA,2528,NA
2021,12,01/12/2021,NA,2800,NA
