"residencia_provincia_nombre","fecha_fallecimiento","n"
"Buenos Aires","2020-03-12",2
"Buenos Aires","2020-03-13",1
"Buenos Aires","2020-03-17",3
"Buenos Aires","2020-03-19",2
"Buenos Aires","2020-03-21",2
"Buenos Aires","2020-03-22",2
"Buenos Aires","2020-03-23",1
"Buenos Aires","2020-03-24",4
"Buenos Aires","2020-03-25",1
"Buenos Aires","2020-03-26",8
"Buenos Aires","2020-03-27",6
"Buenos Aires","2020-03-28",10
"Buenos Aires","2020-03-29",9
"Buenos Aires","2020-03-30",7
"Buenos Aires","2020-03-31",8
"Buenos Aires","2020-04-01",5
"Buenos Aires","2020-04-02",11
"Buenos Aires","2020-04-03",10
"Buenos Aires","2020-04-04",8
"Buenos Aires","2020-04-05",18
"Buenos Aires","2020-04-06",16
"Buenos Aires","2020-04-07",12
"Buenos Aires","2020-04-08",14
"Buenos Aires","2020-04-09",14
"Buenos Aires","2020-04-10",9
"Buenos Aires","2020-04-11",10
"Buenos Aires","2020-04-12",13
"Buenos Aires","2020-04-13",17
"Buenos Aires","2020-04-14",11
"Buenos Aires","2020-04-15",18
"Buenos Aires","2020-04-16",15
"Buenos Aires","2020-04-17",15
"Buenos Aires","2020-04-18",20
"Buenos Aires","2020-04-19",15
"Buenos Aires","2020-04-20",13
"Buenos Aires","2020-04-21",16
"Buenos Aires","2020-04-22",22
"Buenos Aires","2020-04-23",20
"Buenos Aires","2020-04-24",17
"Buenos Aires","2020-04-25",14
"Buenos Aires","2020-04-26",18
"Buenos Aires","2020-04-27",34
"Buenos Aires","2020-04-28",17
"Buenos Aires","2020-04-29",11
"Buenos Aires","2020-04-30",16
"Buenos Aires","2020-05-01",18
"Buenos Aires","2020-05-02",10
"Buenos Aires","2020-05-03",18
"Buenos Aires","2020-05-04",15
"Buenos Aires","2020-05-05",8
"Buenos Aires","2020-05-06",16
"Buenos Aires","2020-05-07",22
"Buenos Aires","2020-05-08",13
"Buenos Aires","2020-05-09",20
"Buenos Aires","2020-05-10",19
"Buenos Aires","2020-05-11",18
"Buenos Aires","2020-05-12",20
"Buenos Aires","2020-05-13",15
"Buenos Aires","2020-05-14",21
"Buenos Aires","2020-05-15",19
"Buenos Aires","2020-05-16",21
"Buenos Aires","2020-05-17",14
"Buenos Aires","2020-05-18",17
"Buenos Aires","2020-05-19",16
"Buenos Aires","2020-05-20",26
"Buenos Aires","2020-05-21",21
"Buenos Aires","2020-05-22",30
"Buenos Aires","2020-05-23",16
"Buenos Aires","2020-05-24",13
"Buenos Aires","2020-05-25",26
"Buenos Aires","2020-05-26",18
"Buenos Aires","2020-05-27",18
"Buenos Aires","2020-05-28",18
"Buenos Aires","2020-05-29",17
"Buenos Aires","2020-05-30",25
"Buenos Aires","2020-05-31",24
"Buenos Aires","2020-06-01",29
"Buenos Aires","2020-06-02",25
"Buenos Aires","2020-06-03",30
"Buenos Aires","2020-06-04",28
"Buenos Aires","2020-06-05",25
"Buenos Aires","2020-06-06",32
"Buenos Aires","2020-06-07",33
"Buenos Aires","2020-06-08",44
"Buenos Aires","2020-06-09",30
"Buenos Aires","2020-06-10",33
"Buenos Aires","2020-06-11",27
"Buenos Aires","2020-06-12",28
"Buenos Aires","2020-06-13",34
"Buenos Aires","2020-06-14",37
"Buenos Aires","2020-06-15",39
"Buenos Aires","2020-06-16",42
"Buenos Aires","2020-06-17",38
"Buenos Aires","2020-06-18",39
"Buenos Aires","2020-06-19",34
"Buenos Aires","2020-06-20",35
"Buenos Aires","2020-06-21",48
"Buenos Aires","2020-06-22",48
"Buenos Aires","2020-06-23",46
"Buenos Aires","2020-06-24",58
"Buenos Aires","2020-06-25",43
"Buenos Aires","2020-06-26",72
