"date","country_code","country","who_region","new_cases","cumulative_cases","new_deaths","covid_deaths"
"2020-01-03","AR","Argentina","AMRO",0,0,0,0
"2020-01-04","AR","Argentina","AMRO",0,0,0,0
"2020-01-05","AR","Argentina","AMRO",0,0,0,0
"2020-01-06","AR","Argentina","AMRO",0,0,0,0
"2020-01-07","AR","Argentina","AMRO",0,0,0,0
"2020-01-08","AR","Argentina","AMRO",0,0,0,0
"2020-01-09","AR","Argentina","AMRO",0,0,0,0
"2020-01-10","AR","Argentina","AMRO",0,0,0,0
"2020-01-11","AR","Argentina","AMRO",0,0,0,0
"2020-01-12","AR","Argentina","AMRO",0,0,0,0
"2020-01-13","AR","Argentina","AMRO",0,0,0,0
"2020-01-14","AR","Argentina","AMRO",0,0,0,0
"2020-01-15","AR","Argentina","AMRO",0,0,0,0
"2020-01-16","AR","Argentina","AMRO",0,0,0,0
"2020-01-17","AR","Argentina","AMRO",0,0,0,0
"2020-01-18","AR","Argentina","AMRO",0,0,0,0
"2020-01-19","AR","Argentina","AMRO",0,0,0,0
"2020-01-20","AR","Argentina","AMRO",0,0,0,0
"2020-01-21","AR","Argentina","AMRO",0,0,0,0
"2020-01-22","AR","Argentina","AMRO",0,0,0,0
"2020-01-23","AR","Argentina","AMRO",0,0,0,0
"2020-01-24","AR","Argentina","AMRO",0,0,0,0
"2020-01-25","AR","Argentina","AMRO",0,0,0,0
"2020-01-26","AR","Argentina","AMRO",0,0,0,0
"2020-01-27","AR","Argentina","AMRO",0,0,0,0
"2020-01-28","AR","Argentina","AMRO",0,0,0,0
"2020-01-29","AR","Argentina","AMRO",0,0,0,0
"2020-01-30","AR","Argentina","AMRO",0,0,0,0
"2020-01-31","AR","Argentina","AMRO",0,0,0,0
"2020-02-01","AR","Argentina","AMRO",0,0,0,0
"2020-02-02","AR","Argentina","AMRO",0,0,0,0
"2020-02-03","AR","Argentina","AMRO",0,0,0,0
"2020-02-04","AR","Argentina","AMRO",0,0,0,0
"2020-02-05","AR","Argentina","AMRO",0,0,0,0
"2020-02-06","AR","Argentina","AMRO",0,0,0,0
"2020-02-07","AR","Argentina","AMRO",0,0,0,0
"2020-02-08","AR","Argentina","AMRO",0,0,0,0
"2020-02-09","AR","Argentina","AMRO",0,0,0,0
"2020-02-10","AR","Argentina","AMRO",0,0,0,0
"2020-02-11","AR","Argentina","AMRO",0,0,0,0
"2020-02-12","AR","Argentina","AMRO",0,0,0,0
"2020-02-13","AR","Argentina","AMRO",0,0,0,0
