"cordoba","fecha_fallecimiento","covid_deaths","ma7"
"Córdoba","2020-03-25",2,NA
"Córdoba","2020-03-29",1,NA
"Córdoba","2020-03-30",1,NA
"Córdoba","2020-04-05",1,NA
"Córdoba","2020-04-06",2,NA
"Córdoba","2020-04-11",1,NA
"Córdoba","2020-04-13",2,1.4285714285714286
"Córdoba","2020-04-15",2,1.4285714285714286
"Córdoba","2020-04-16",3,1.7142857142857142
"Córdoba","2020-04-19",1,1.7142857142857142
"Córdoba","2020-04-20",2,1.8571428571428572
"Córdoba","2020-04-21",1,1.7142857142857142
"Córdoba","2020-04-22",1,1.7142857142857142
"Córdoba","2020-04-23",1,1.5714285714285714
"Córdoba","2020-04-24",1,1.4285714285714286
"Córdoba","2020-04-25",1,1.1428571428571428
"Córdoba","2020-04-27",3,1.4285714285714286
"Córdoba","2020-04-28",2,1.4285714285714286
"Córdoba","2020-05-01",2,1.5714285714285714
"Córdoba","2020-05-02",3,1.8571428571428572
"Córdoba","2020-05-04",3,2.142857142857143
"Córdoba","2020-05-05",1,2.142857142857143
"Córdoba","2020-05-11",1,2.142857142857143
"Córdoba","2020-05-14",2,2
"Córdoba","2020-05-17",1,1.8571428571428572
"Córdoba","2020-05-18",1,1.7142857142857142
"Córdoba","2020-05-19",1,1.4285714285714286
"Córdoba","2020-05-20",1,1.1428571428571428
"Córdoba","2020-05-21",1,1.1428571428571428
"Córdoba","2020-05-22",1,1.1428571428571428
"Córdoba","2020-05-24",1,1
"Córdoba","2020-05-26",2,1.1428571428571428
"Córdoba","2020-05-31",1,1.1428571428571428
"Córdoba","2020-06-02",1,1.1428571428571428
"Córdoba","2020-06-03",1,1.1428571428571428
"Córdoba","2020-06-05",1,1.1428571428571428
"Córdoba","2020-06-12",3,1.4285714285714286
"Córdoba","2020-06-14",2,1.5714285714285714
"Córdoba","2020-06-22",1,1.4285714285714286
"Córdoba","2020-06-27",1,1.4285714285714286
"Córdoba","2020-07-02",1,1.4285714285714286
"Córdoba","2020-07-03",1,1.4285714285714286
"Córdoba","2020-07-11",1,1.4285714285714286
"Córdoba","2020-07-13",1,1.1428571428571428
"Córdoba","2020-07-15",1,1
"Córdoba","2020-07-16",1,1
"Córdoba","2020-07-18",1,1
"Córdoba","2020-07-20",3,1.2857142857142858
"Córdoba","2020-07-21",1,1.2857142857142858
"Córdoba","2020-07-24",1,1.2857142857142858
"Córdoba","2020-07-26",1,1.2857142857142858
"Córdoba","2020-07-28",3,1.5714285714285714
